#Stadt,Einwohner,Breitengrad,Laengengrad
LHospitalet de Llobregat,248150,41.35,2.1
Lille,227560,50.64,3.07
Lisbon,517802,38.72,-9.14
Liverpool,466415,53.4167,-3.
Ljubljana,268423,46.06,14.51
Lodz,739832,51.77,19.46
London,8173941,51.5,-0.116667
Luebeck,211213,53.87,10.66
Lublin,352786,51.24,22.57
Luhansk,452789,48.57,39.33
Lutsk,209285,50.75,25.33
Lviv,733989,49.83,24.
Lyon,484344,45.76,4.83
Madrid,3273049,40.42,-3.71
Magdeburg,229826,52.13,11.62
Mahiljow,372000,53.9,30.33
Makiyivka,375992,48.03,37.97
Malaga,560631,36.72,-4.42
Malmoe,261548,55.61,13.02
Manchester,503127,53.5,-2.21667
Mannheim,313174,49.5,8.47
Mariupol,482440,47.1,37.55
Marseille,850726,43.31,5.37
Messina,247800,38.19,15.55
Milan,1307495,45.47,9.17
Milton Keynes,248821,52.0333,-0.7
Minsk,1836808,53.91,27.55
Moenchengladbach,260951,51.2,6.42
Montpellier,257351,43.61,3.87
Mostoles,206301,40.32,-3.88
Munich,1353186,48.14,11.58
Munster,272106,51.96,7.62
Murcia,416996,37.98,-1.13
Mykolayiv,509011,46.97,32.
Nantes,284970,47.23,-1.57
Naples,962940,40.85,14.27
Newcastle upon Tyne,280177,54.9881,-1.61944
Nice,343304,43.7,7.27
Nicosia,200452,35.16,33.38
Nottingham,246654,52.9667,-1.16667
Novi Sad,335701,45.25,19.85
Nuremberg,505664,49.45,11.05
Oberhausen,218181,51.47,6.86
Odesa,1010326,46.47,30.73
Oldham,224897,53.55,-2.11667
Oradea,206223,47.07,21.92
Oslo,623966,59.91,10.75
Ostrava,313088,49.83,18.27
Oviedo,214883,43.35,-5.83
Padova,210648,45.41,11.87
Palermo,656081,38.12,13.36
Palma,375048,39.57,2.65
Paris,2233818,48.86,2.34
Ploiesti,233699,44.94,26.03
Plovdiv,346757,42.15,24.75
Plymouth,247297,50.3964,-4.13861
Poltava,309960,49.58,34.57
Porto,249633,41.15,-8.62
Poznan,564035,52.4,16.9
Prague,1249026,50.08,14.43
Pristina,254021,42.65,21.17
Radom,225292,51.4,21.16
Reading,244070,51.4333,-1.
Rennes,209100,48.11,-1.68
Riga,706413,56.97,24.13
Rivne,247870,50.62,26.25
Rome,2612068,41.89,12.5
Rotterdam,615726,51.93,4.48
Sabadell,200545,41.55,2.1
Santa Cruz de Tenerife,223148,28.47,-16.25
Sarajevo,304614,43.85,18.38
Sevastopol,340353,44.6,33.53
Seville,704198,37.4,-5.98
Sheffield,552698,53.3667,-1.5
Simferopol,341599,44.95,34.1
Skopje,474889,42.,21.47
Sofia,1208097,42.69,23.31
Sosnowiec,223284,50.28,19.12
Southampton,246201,50.9,-1.4
Stockholm,829417,59.33,18.07
Stoke-on-Trent,260419,53.,-2.18333
Strasbourg,272782,48.58,7.76
Stuttgart,593923,48.79,9.19
Sumy,282198,50.92,34.78
Sunderland,275506,54.9119,-1.38333
Szczecin,408583,53.43,14.53
Tallinn,396102,59.44,24.74
Tampere,206368,61.52,23.76
Ternopil,217300,49.55,25.58
The Hague,505568,52.07,4.3
Thessaloniki,322240,40.64,22.94
Tilburg,206134,51.57,5.07
Timisoara,303640,45.76,21.23
Tirana,421286,41.33,19.82
Torun,206765,53.02,18.61
Toulouse,441802,43.62,1.45
Trieste,207128,45.65,13.77
Turin,909538,45.08,7.68
Utrecht,321989,52.1,5.11
Valencia,809267,39.48,-0.39
Valladolid,319943,41.65,-4.74
Varna,323296,43.21,27.9
Venice,271374,45.43,12.33
Verona,259058,45.44,10.99
Vienna,1724381,48.22,16.37
Vigo,293255,42.22,-8.71
Vila Nova de Gaia,288749,41.14,-8.63
Vilnius,542782,54.7,25.27
Vinnytsya,360241,49.23,28.48
Vitebsk,347500,55.19,30.18
Vitoria,227568,42.85,-2.67
Warrington,202228,53.3833,-2.6
Warsaw,1716855,52.26,21.02
Wiesbaden,275562,50.08,8.23
Wolverhampton,252791,52.5833,-2.13333
Wroclaw,633950,51.11,17.03
Wuppertal,358330,51.26,7.18
Zagreb,686568,45.8,15.97
Zaporizhzhya,780733,47.85,35.17
Zaragoza,649181,41.65,-0.89
Zhytomyr,277875,50.25,28.67
Zurich,372857,47.38,8.54
